Wavelength,QE
706.2854297,0.004573378
708.7005955,0.004470179
711.5954136,0.004376362
715.1980887,0.004399816
718.7938965,0.004484252
722.3984204,0.004491288
723.8516403,0.00439278
725.3040677,0.004301308
726.7557028,0.004216872
727.9701529,0.004104291
729.4249575,0.00399171
731.1185317,0.003893202
733.2922866,0.003799384
736.8973388,0.00380173
740.4965802,0.003855675
743.8694659,0.003785312
745.5603989,0.003710258
747.0136187,0.003611749
748.4684233,0.003499169
749.9224355,0.003393624
752.8185742,0.003288079
756.4260036,0.003269316
760.3830033,0.003347888
765.0650283,0.003391278
767.9609029,0.003288079
769.4093684,0.003231789
770.1391478,0.003154389
771.5907829,0.003069954
773.7621606,0.002997245
778.4543544,0.002950336
781.4466349,0.003058226
784.5604132,0.003154389
788.1543721,0.003255243
791.7639145,0.003217716
793.2139648,0.003147353
794.6648075,0.003069954
796.1188197,0.002964409
797.5712471,0.002872937
799.024467,0.002774429
801.1984859,0.002678266
805.8876422,0.00265833
809.1225222,0.002746283
811.9980591,0.002823683
815.5986212,0.002865901
818.4892133,0.00280961
819.2197851,0.002725174
820.6714202,0.002640739
822.1222629,0.002563339
823.5738979,0.002478904
825.025533,0.002394468
826.4795452,0.002288923
827.9311803,0.002204488
830.1038786,0.002120052
834.4318429,0.002105979
836.8269352,0.002181033
839.4610612,0.002267814
843.0618874,0.002307687
845.9561772,0.00221856
848.8504671,0.002129434
851.7460775,0.00202858
853.9243225,0.00189489
855.37675,0.001803418
857.5481277,0.001730709
861.8750355,0.001726018
866.1940196,0.001791691
870.519871,0.001796382
874.8510049,0.001754164
878.4658297,0.001669728
882.0806546,0.001585292
886.4165427,0.001500857
890.7513744,0.001425803
895.0809235,0.001397657
899.4099444,0.001374203
903.7416065,0.001327294
908.0737969,0.001275695
912.409685,0.001191259
916.7455731,0.001106823
921.0761788,0.001069296
925.4062561,0.00103646
929.73739,0.000994242
934.0732781,0.000909807
938.406525,0.000848825
942.7403002,0.000783153
947.0703775,0.000750317
951.4009832,0.00071279
955.7268345,0.000717481
960.0521576,0.000726862
964.3806502,0.000708099
968.7133689,0.000651809
973.0482005,0.000576755
977.3814474,0.000515773
981.714166,0.000459483
986.0437151,0.000431337
990.3700947,0.000431337
993.9722416,0.000459483
